"EDA 21 .Understand the distribution of reservation statuses and calculate summary statistics for reservation
status dates.",,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Check-Out,,,,,,
04-08-2015,Canceled,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
13-08-2017,Check-Out,,,,,,
05-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
13-01-2016,Check-Out,,,,,,
20-09-2016,Check-Out,,,,,,
04-01-2017,Check-Out,,,,,,
23-02-2017,Check-Out,,,,,,
17-05-2017,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
06-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Canceled,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
07-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Canceled,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
08-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
30-12-2015,No-Show,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
09-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Canceled,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Check-Out,,,,,,
10-08-2015,Canceled,,,,,,
10-08-2015,Check-Out,,,,,,
08-05-2017,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
11-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2016,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Check-Out,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
12-08-2015,Canceled,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
13-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
14-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Check-Out,,,,,,
15-08-2015,Canceled,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
20-07-2017,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
16-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Canceled,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
17-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Canceled,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
18-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
13-08-2017,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
19-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Canceled,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
05-09-2016,Check-Out,,,,,,
20-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Check-Out,,,,,,
21-08-2015,Canceled,,,,,,
21-08-2015,Canceled,,,,,,
21-08-2015,Canceled,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
17-08-2016,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,Check-Out,,,,,,
22-08-2015,No-Show,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
23-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
24-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
25-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Canceled,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Canceled,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
26-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
26-08-2015,Canceled,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
28-10-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Canceled,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
27-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
05-02-2016,Check-Out,,,,,,
03-03-2016,Check-Out,,,,,,
07-04-2016,Check-Out,,,,,,
02-06-2016,Check-Out,,,,,,
25-11-2016,Check-Out,,,,,,
28-04-2017,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Check-Out,,,,,,
28-08-2015,Canceled,,,,,,
28-08-2015,Canceled,,,,,,
28-08-2015,Canceled,,,,,,
28-08-2015,Canceled,,,,,,
28-08-2015,Canceled,,,,,,
11-09-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
09-07-2017,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
03-09-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Canceled,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Check-Out,,,,,,
29-08-2015,Canceled,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
30-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Canceled,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
31-08-2015,Check-Out,,,,,,
31-08-2015,Canceled,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
31-10-2016,Check-Out,,,,,,
01-11-2016,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
01-09-2015,Check-Out,,,,,,
11-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Check-Out,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
02-09-2015,Canceled,,,,,,
